No,Time,Source,Destination,Protocol,Length
1,43435.45254,172.16.0.5,192.168.50.1,17,42680
2,43435.45254,192.168.50.1,172.16.0.5,17,880
3,43435.45254,172.16.0.5,192.168.50.1,17,88000
4,43435.45255,172.16.0.5,192.168.50.1,17,88000
5,43435.45255,172.16.0.5,192.168.50.1,17,88000
6,43435.45255,172.16.0.5,192.168.50.1,17,88000
7,43435.45255,172.16.0.5,192.168.50.1,17,88000
8,43435.45255,172.16.0.5,192.168.50.1,17,88000
9,43435.45255,172.16.0.5,192.168.50.1,17,88000
10,43435.45255,172.16.0.5,192.168.50.1,17,88000
11,43435.45255,172.16.0.5,192.168.50.1,17,88000
12,43435.45255,172.16.0.5,192.168.50.1,17,88000
13,43435.45255,172.16.0.5,192.168.50.1,17,88000
14,43435.45255,172.16.0.5,192.168.50.1,17,88000
15,43435.45255,172.16.0.5,192.168.50.1,17,88000
16,43435.45255,172.16.0.5,192.168.50.1,17,88000
17,43435.45255,172.16.0.5,192.168.50.1,17,88000
18,43435.45255,172.16.0.5,192.168.50.1,0,0
19,43435.45255,172.16.0.5,192.168.50.1,17,88000
20,43435.45255,172.16.0.5,192.168.50.1,17,88000
21,43435.45255,172.16.0.5,192.168.50.1,17,88000
22,43435.45255,172.16.0.5,192.168.50.1,17,88000
23,43435.45255,192.168.50.1,172.16.0.5,6,408
24,43435.45255,172.16.0.5,192.168.50.1,17,88000
25,43435.45255,172.16.0.5,192.168.50.1,17,88000
26,43435.45255,172.16.0.5,192.168.50.1,17,88000
27,43435.45255,172.16.0.5,192.168.50.1,17,88000
28,43435.45255,192.168.50.8,125.56.201.115,6,616
29,43435.45255,172.16.0.5,192.168.50.1,17,88000
30,43435.45255,172.16.0.5,192.168.50.1,17,88000
31,43435.45255,172.16.0.5,192.168.50.1,17,88000
32,43435.45255,192.168.50.8,54.218.239.186,6,8
33,43435.45255,172.16.0.5,192.168.50.1,17,88000
34,43435.45255,172.16.0.5,192.168.50.1,17,88000
35,43435.45255,172.16.0.5,192.168.50.1,17,88000
36,43435.45255,172.16.0.5,192.168.50.1,17,88000
37,43435.45255,172.16.0.5,192.168.50.1,17,88000
38,43435.45255,172.16.0.5,192.168.50.1,17,88000
39,43435.45255,172.16.0.5,192.168.50.1,17,88000
40,43435.45255,172.16.0.5,192.168.50.1,17,88000
41,43435.45255,172.16.0.5,192.168.50.1,17,88000
42,43435.45256,172.16.0.5,192.168.50.1,17,88000
43,43435.45256,172.16.0.5,192.168.50.1,17,88000
44,43435.45256,172.16.0.5,192.168.50.1,17,88000
45,43435.45256,192.168.50.1,172.16.0.5,17,880
46,43435.45256,172.16.0.5,192.168.50.1,17,88000
47,43435.45256,172.16.0.5,192.168.50.1,17,88000
48,43435.45256,172.16.0.5,192.168.50.1,17,88000
49,43435.45256,172.16.0.5,192.168.50.1,17,88000
50,43435.45256,172.16.0.5,192.168.50.1,17,88000
51,43435.45256,172.16.0.5,192.168.50.1,17,88000
52,43435.45256,172.16.0.5,192.168.50.1,17,88000
53,43435.45256,172.16.0.5,192.168.50.1,17,88000
54,43435.45256,192.168.50.253,224.0.0.5,0,0
55,43435.45256,172.16.0.5,192.168.50.1,17,88000
56,43435.45256,172.16.0.5,192.168.50.1,17,88000
57,43435.45256,172.16.0.5,192.168.50.1,17,176000
58,43435.45257,172.16.0.5,192.168.50.1,17,88000
59,43435.45257,172.16.0.5,192.168.50.1,17,88000
60,43435.45257,172.16.0.5,192.168.50.1,17,88000
61,43435.45257,192.168.50.1,172.16.0.5,17,880
62,43435.45257,172.16.0.5,192.168.50.1,17,88000
63,43435.45257,172.16.0.5,192.168.50.1,17,88000
64,43435.45257,172.16.0.5,192.168.50.1,17,88000
65,43435.45257,172.16.0.5,192.168.50.1,17,88000
66,43435.45257,172.16.0.5,192.168.50.1,17,88000
67,43435.45257,172.16.0.5,192.168.50.1,17,88000
68,43435.45257,172.16.0.5,192.168.50.1,17,88000
69,43435.45257,172.16.0.5,192.168.50.1,17,88000
70,43435.45257,172.16.0.5,192.168.50.1,17,88000
71,43435.45257,172.16.0.5,192.168.50.1,17,88000
72,43435.45257,172.16.0.5,192.168.50.1,17,88000
73,43435.45257,172.16.0.5,192.168.50.1,17,88000
74,43435.45257,172.16.0.5,192.168.50.1,17,88000
75,43435.45257,172.16.0.5,192.168.50.1,17,88000
76,43435.45257,172.16.0.5,192.168.50.1,17,66000
77,43435.45257,172.16.0.5,192.168.50.1,17,88000
78,43435.45257,172.16.0.5,192.168.50.1,17,88000
79,43435.45257,172.16.0.5,192.168.50.1,17,88000
80,43435.45257,172.16.0.5,192.168.50.1,17,88000
81,43435.45257,172.16.0.5,192.168.50.1,17,88000
82,43435.45257,172.16.0.5,192.168.50.1,17,88000
83,43435.45258,172.16.0.5,192.168.50.1,17,88000
84,43435.45258,172.16.0.5,192.168.50.1,17,88000
85,43435.45258,172.16.0.5,192.168.50.1,17,88000
86,43435.45258,172.16.0.5,192.168.50.1,17,88000
87,43435.45258,172.16.0.5,192.168.50.1,17,88000
88,43435.45258,172.16.0.5,192.168.50.1,17,88000
89,43435.45258,192.168.50.1,172.16.0.5,17,880
90,43435.45258,172.16.0.5,192.168.50.1,17,176000
91,43435.45258,172.16.0.5,192.168.50.1,17,88000
92,43435.45258,172.16.0.5,192.168.50.1,17,88000
93,43435.45258,172.16.0.5,192.168.50.1,17,88000
94,43435.45258,192.168.50.8,23.15.4.11,6,20
95,43435.45258,192.168.50.8,172.217.0.110,6,20
96,43435.45258,192.168.50.8,172.217.0.110,6,20
97,43435.45258,172.16.0.5,192.168.50.1,17,88000
98,43435.45258,192.168.50.8,104.36.115.113,6,51
99,43435.45258,192.168.50.8,72.21.91.29,6,20
100,43435.45258,172.16.0.5,192.168.50.1,17,88000
101,43435.45258,192.168.50.8,172.217.0.110,6,20
102,43435.45258,192.168.50.8,172.217.0.110,6,20
103,43435.45259,192.168.50.8,54.210.144.213,6,4
104,43435.45259,172.16.0.5,192.168.50.1,17,88000
105,43435.45259,172.16.0.5,192.168.50.1,17,88000
106,43435.45259,172.16.0.5,192.168.50.1,17,88000
107,43435.45259,192.168.50.8,72.21.91.29,6,904
108,43435.45259,192.168.50.8,52.203.113.92,6,8
109,43435.45259,172.16.0.5,192.168.50.1,17,88000
110,43435.45259,192.168.50.8,208.185.50.75,6,73
111,43435.45259,192.168.50.8,52.203.113.92,6,8
112,43435.45259,172.16.0.5,192.168.50.1,17,88000
113,43435.45259,192.168.50.8,96.6.27.46,6,17768
114,43435.45259,172.16.0.5,192.168.50.1,17,88000
115,43435.45259,172.16.0.5,192.168.50.1,17,88000
116,43435.45259,192.168.50.8,172.217.0.226,6,2744
117,43435.45259,172.16.0.5,192.168.50.1,17,88000
118,43435.45259,172.16.0.5,192.168.50.1,17,88000
119,43435.45259,192.168.50.8,35.173.44.140,6,10
120,43435.45259,192.168.50.8,35.173.44.140,6,10
121,43435.45259,172.16.0.5,192.168.50.1,17,88000
122,43435.45259,192.168.50.8,72.21.91.29,6,20
123,43435.45259,172.16.0.5,192.168.50.1,17,88000
124,43435.45259,192.168.50.254,224.0.0.5,0,0
125,43435.45259,172.16.0.5,192.168.50.1,17,88000
126,43435.45259,172.16.0.5,192.168.50.1,17,88000
127,43435.45259,172.16.0.5,192.168.50.1,17,88000
128,43435.45259,172.16.0.5,192.168.50.1,17,88000
129,43435.45259,192.168.50.1,172.16.0.5,17,880
130,43435.45259,172.16.0.5,192.168.50.1,17,88000
131,43435.45259,192.168.50.8,208.185.50.80,6,73
132,43435.45259,172.16.0.5,192.168.50.1,17,88000
133,43435.45259,172.16.0.5,192.168.50.1,17,88000
134,43435.45259,172.16.0.5,192.168.50.1,17,88000
135,43435.45259,172.16.0.5,192.168.50.1,17,88000
136,43435.45259,172.16.0.5,192.168.50.1,17,88000
137,43435.45259,172.16.0.5,192.168.50.1,17,88000
138,43435.45259,172.16.0.5,192.168.50.1,17,88000
139,43435.4526,172.16.0.5,192.168.50.1,17,88000
140,43435.4526,172.16.0.5,192.168.50.1,17,88000
141,43435.4526,172.16.0.5,192.168.50.1,17,88000
142,43435.4526,172.16.0.5,192.168.50.1,17,88000
143,43435.4526,172.16.0.5,192.168.50.1,17,88000
144,43435.4526,172.16.0.5,192.168.50.1,17,88000
145,43435.4526,172.16.0.5,192.168.50.1,17,88000
146,43435.4526,172.16.0.5,192.168.50.1,17,88000
147,43435.4526,172.16.0.5,192.168.50.1,17,88000
148,43435.4526,172.16.0.5,192.168.50.1,17,88000
149,43435.4526,172.16.0.5,192.168.50.1,17,88000
150,43435.4526,172.16.0.5,192.168.50.1,17,88000
151,43435.4526,172.16.0.5,192.168.50.1,17,88000
152,43435.4526,192.168.50.1,172.16.0.5,17,880
153,43435.4526,172.16.0.5,192.168.50.1,17,88000
154,43435.4526,172.16.0.5,192.168.50.1,17,88000
155,43435.4526,172.16.0.5,192.168.50.1,17,88000
156,43435.4526,172.16.0.5,192.168.50.1,17,88000
157,43435.4526,172.16.0.5,192.168.50.1,17,88000
158,43435.4526,172.16.0.5,192.168.50.1,17,88000
159,43435.4526,172.16.0.5,192.168.50.1,17,88000
160,43435.4526,172.16.0.5,192.168.50.1,17,88000
161,43435.4526,172.16.0.5,192.168.50.1,17,88000
162,43435.4526,172.16.0.5,192.168.50.1,17,88000
163,43435.4526,172.16.0.5,192.168.50.1,17,88000
164,43435.4526,172.16.0.5,192.168.50.1,17,88000
165,43435.45261,172.16.0.5,192.168.50.1,17,88000
166,43435.45261,172.16.0.5,192.168.50.1,17,88000
167,43435.45261,172.16.0.5,192.168.50.1,17,88000
168,43435.45261,192.168.50.8,54.222.199.48,6,10
169,43435.45261,172.16.0.5,192.168.50.1,17,88000
170,43435.45261,172.16.0.5,192.168.50.1,17,88000
171,43435.45261,172.16.0.5,192.168.50.1,17,88000
172,43435.45261,172.16.0.5,192.168.50.1,6,0
173,43435.45261,172.16.0.5,192.168.50.1,17,88000
174,43435.45261,172.16.0.5,192.168.50.1,17,88000
175,43435.45261,172.16.0.5,192.168.50.1,17,88000
176,43435.45261,172.16.0.5,192.168.50.1,17,88000
177,43435.45261,172.16.0.5,192.168.50.1,17,88000
178,43435.45261,172.16.0.5,192.168.50.1,17,88000
179,43435.45261,192.168.50.1,172.16.0.5,17,880
180,43435.45261,172.16.0.5,192.168.50.1,17,88000
181,43435.45262,172.16.0.5,192.168.50.1,17,88000
182,43435.45262,172.16.0.5,192.168.50.1,17,88000
183,43435.45262,172.16.0.5,192.168.50.1,17,88000
184,43435.45262,172.16.0.5,192.168.50.1,17,88000
185,43435.45262,172.16.0.5,192.168.50.1,17,88000
186,43435.45262,172.16.0.5,192.168.50.1,17,88000
187,43435.45262,172.16.0.5,192.168.50.1,17,88000
188,43435.45262,172.16.0.5,192.168.50.1,17,88000
189,43435.45262,172.16.0.5,192.168.50.1,17,88000
190,43435.45262,172.16.0.5,192.168.50.1,17,88000
191,43435.45262,172.16.0.5,192.168.50.1,17,88000
192,43435.45262,172.16.0.5,192.168.50.1,17,88000
193,43435.45262,172.16.0.5,192.168.50.1,17,88000
194,43435.45263,192.168.50.1,172.16.0.5,17,880
195,43435.45263,172.16.0.5,192.168.50.1,17,88000
196,43435.45263,172.16.0.5,192.168.50.1,17,88000
197,43435.45263,172.16.0.5,192.168.50.1,17,88000
198,43435.45263,172.16.0.5,192.168.50.1,17,88000
199,43435.45263,172.16.0.5,192.168.50.1,17,88000
200,43435.45263,172.16.0.5,192.168.50.1,17,85360
201,43435.45263,172.16.0.5,192.168.50.1,17,87120
202,43435.45263,172.16.0.5,192.168.50.1,17,88000
203,43435.45263,172.16.0.5,192.168.50.1,17,4400
204,43435.45263,172.16.0.5,192.168.50.1,17,88000
205,43435.45264,172.16.0.5,192.168.50.1,17,88000
206,43435.45264,172.16.0.5,192.168.50.1,17,88000
207,43435.45264,172.16.0.5,192.168.50.1,17,88000
208,43435.45264,192.168.50.1,172.16.0.5,17,880
209,43435.45264,172.16.0.5,192.168.50.1,17,88000
210,43435.45264,172.16.0.5,192.168.50.1,17,88000
211,43435.45264,172.16.0.5,192.168.50.1,17,88000
212,43435.45264,172.16.0.5,192.168.50.1,17,88000
213,43435.45264,172.16.0.5,192.168.50.1,17,176000
214,43435.45264,172.16.0.5,192.168.50.1,17,88000
215,43435.45264,172.16.0.5,192.168.50.1,17,88000
216,43435.45264,172.16.0.5,192.168.50.1,17,88000
217,43435.45264,172.16.0.5,192.168.50.1,17,88000
218,43435.45264,172.16.0.5,192.168.50.1,17,88000
219,43435.45264,172.16.0.5,192.168.50.1,17,88000
220,43435.45264,172.16.0.5,192.168.50.1,17,88000
221,43435.45264,172.16.0.5,192.168.50.1,17,88000
222,43435.45264,172.16.0.5,192.168.50.1,17,88000
223,43435.45264,172.16.0.5,192.168.50.1,17,88000
224,43435.45265,172.16.0.5,192.168.50.1,17,88000
225,43435.45265,172.16.0.5,192.168.50.1,17,88000
226,43435.45265,172.16.0.5,192.168.50.1,17,88000
227,43435.45265,172.16.0.5,192.168.50.1,17,88000
228,43435.45265,172.16.0.5,192.168.50.1,17,88000
229,43435.45265,172.16.0.5,192.168.50.1,17,88000
230,43435.45265,172.16.0.5,192.168.50.1,17,88000
231,43435.45265,172.16.0.5,192.168.50.1,17,88000
232,43435.45265,172.16.0.5,192.168.50.1,17,88000
233,43435.45265,192.168.50.8,96.6.27.46,6,17724
234,43435.45265,172.16.0.5,192.168.50.1,17,88000
235,43435.45265,192.168.50.1,172.16.0.5,17,880
236,43435.45265,172.16.0.5,192.168.50.1,17,88000
237,43435.45265,172.16.0.5,192.168.50.1,17,88000
238,43435.45265,172.16.0.5,192.168.50.1,17,88000
239,43435.45265,172.16.0.5,192.168.50.1,17,88000
240,43435.45265,172.16.0.5,192.168.50.1,17,88000
241,43435.45265,172.16.0.5,192.168.50.1,17,88000
242,43435.45265,172.16.0.5,192.168.50.1,17,88000
243,43435.45265,172.16.0.5,192.168.50.1,17,88000
244,43435.45265,172.16.0.5,192.168.50.1,17,88000
245,43435.45265,172.16.0.5,192.168.50.1,17,88000
246,43435.45265,172.16.0.5,192.168.50.1,17,88000
247,43435.45265,172.16.0.5,192.168.50.1,17,88000
248,43435.45265,172.16.0.5,192.168.50.1,17,88000
249,43435.45265,172.16.0.5,192.168.50.1,17,88000
250,43435.45265,172.16.0.5,192.168.50.1,17,88000
251,43435.45266,172.16.0.5,192.168.50.1,17,88000
252,43435.45266,172.16.0.5,192.168.50.1,17,88000
253,43435.45266,172.16.0.5,192.168.50.1,17,88000
254,43435.45266,172.16.0.5,192.168.50.1,17,88000
255,43435.45266,172.16.0.5,192.168.50.1,17,88000
256,43435.45266,172.16.0.5,192.168.50.1,17,88000
257,43435.45266,172.16.0.5,192.168.50.1,17,88000
258,43435.45266,172.16.0.5,192.168.50.1,17,88000
259,43435.45266,192.168.50.1,172.16.0.5,17,880
260,43435.45266,172.16.0.5,192.168.50.1,17,88000
261,43435.45267,172.16.0.5,192.168.50.1,17,88000
262,43435.45267,172.16.0.5,192.168.50.1,17,88000
263,43435.45267,172.16.0.5,192.168.50.1,17,88000
264,43435.45267,172.16.0.5,192.168.50.1,17,88000
265,43435.45267,172.16.0.5,192.168.50.1,17,176000
266,43435.45267,172.16.0.5,192.168.50.1,17,88000
267,43435.45267,172.16.0.5,192.168.50.1,17,88000
268,43435.45267,172.16.0.5,192.168.50.1,17,88000
269,43435.45267,172.16.0.5,192.168.50.1,17,88000
270,43435.45267,172.16.0.5,192.168.50.1,17,88000
271,43435.45267,192.168.50.1,172.16.0.5,17,880
272,43435.45267,172.16.0.5,192.168.50.1,17,88000
273,43435.45267,172.16.0.5,192.168.50.1,17,88000
274,43435.45267,172.16.0.5,192.168.50.1,17,88000
275,43435.45267,172.16.0.5,192.168.50.1,17,88000
276,43435.45267,172.16.0.5,192.168.50.1,17,88000
277,43435.45267,172.16.0.5,192.168.50.1,17,88000
278,43435.45268,172.16.0.5,192.168.50.1,17,88000
279,43435.45268,172.16.0.5,192.168.50.1,17,88000
280,43435.45268,172.16.0.5,192.168.50.1,17,88000
281,43435.45268,172.16.0.5,192.168.50.1,17,88000
282,43435.45268,172.16.0.5,192.168.50.1,17,88000
283,43435.45268,172.16.0.5,192.168.50.1,17,88000
284,43435.45268,172.16.0.5,192.168.50.1,17,88000
285,43435.45268,172.16.0.5,192.168.50.1,17,88000
286,43435.45268,172.16.0.5,192.168.50.1,17,88000
287,43435.45268,192.168.50.1,172.16.0.5,17,880
288,43435.45268,172.16.0.5,192.168.50.1,17,88000
289,43435.45268,172.16.0.5,192.168.50.1,17,88000
290,43435.45268,172.16.0.5,192.168.50.1,17,88000
291,43435.45269,172.16.0.5,192.168.50.1,17,88000
292,43435.45269,172.16.0.5,192.168.50.1,17,88000
293,43435.45269,172.16.0.5,192.168.50.1,17,88000
294,43435.45269,172.16.0.5,192.168.50.1,17,88000
295,43435.45269,172.16.0.5,192.168.50.1,17,88000
296,43435.45269,172.16.0.5,192.168.50.1,17,88000
297,43435.45269,172.16.0.5,192.168.50.1,17,88000
298,43435.45269,172.16.0.5,192.168.50.1,17,88000
299,43435.45269,172.16.0.5,192.168.50.1,17,88000
300,43435.45269,172.16.0.5,192.168.50.1,17,88000
301,43435.45269,172.16.0.5,192.168.50.1,17,88000
302,43435.45269,172.16.0.5,192.168.50.1,17,88000
303,43435.45269,172.16.0.5,192.168.50.1,17,88000
304,43435.45269,192.168.50.1,172.16.0.5,17,880
305,43435.4527,172.16.0.5,192.168.50.1,17,88000
306,43435.4527,172.16.0.5,192.168.50.1,17,88000
307,43435.4527,172.16.0.5,192.168.50.1,17,88000
308,43435.4527,172.16.0.5,192.168.50.1,17,88000
309,43435.4527,172.16.0.5,192.168.50.1,17,88000
310,43435.4527,192.168.50.8,8.8.8.8,17,64
311,43435.4527,192.168.50.8,8.8.8.8,17,82
312,43435.4527,172.16.0.5,192.168.50.1,17,88000
313,43435.4527,172.16.0.5,192.168.50.1,17,88000
314,43435.4527,172.16.0.5,192.168.50.1,17,88000
315,43435.4527,172.16.0.5,192.168.50.1,17,88000
316,43435.45271,172.16.0.5,192.168.50.1,17,88000
317,43435.45271,192.168.50.1,172.16.0.5,17,880
318,43435.45271,172.16.0.5,192.168.50.1,17,88000
319,43435.45271,172.16.0.5,192.168.50.1,17,88000
320,43435.45271,172.16.0.5,192.168.50.1,17,88000
321,43435.45271,172.16.0.5,192.168.50.1,17,88000
322,43435.45271,192.168.50.8,54.210.144.213,6,0
323,43435.45271,172.16.0.5,192.168.50.1,17,88000
324,43435.45271,54.210.144.213,192.168.50.8,6,0
325,43435.45271,172.16.0.5,192.168.50.1,17,88000
326,43435.45271,172.16.0.5,192.168.50.1,17,88000
327,43435.45271,172.16.0.5,192.168.50.1,17,88000
328,43435.45271,172.16.0.5,192.168.50.1,17,88000
329,43435.45271,172.16.0.5,192.168.50.1,17,88000
330,43435.45271,172.16.0.5,192.168.50.1,17,88000
331,43435.45272,172.16.0.5,192.168.50.1,17,88000
332,43435.45272,172.16.0.5,192.168.50.1,17,88000
333,43435.45272,172.16.0.5,192.168.50.1,17,88000
334,43435.45272,172.16.0.5,192.168.50.1,17,88000
335,43435.45272,192.168.50.1,172.16.0.5,17,880
336,43435.45272,172.16.0.5,192.168.50.1,17,88000
337,43435.45272,172.16.0.5,192.168.50.1,17,88000
338,43435.45272,172.16.0.5,192.168.50.1,17,88000
339,43435.45272,172.16.0.5,192.168.50.1,17,88000
340,43435.45272,172.16.0.5,192.168.50.1,17,88000
341,43435.45272,172.16.0.5,192.168.50.1,17,88000
342,43435.45272,172.16.0.5,192.168.50.1,17,88000
343,43435.45272,172.16.0.5,192.168.50.1,17,88000
344,43435.45272,172.16.0.5,192.168.50.1,17,88000
